"timepoint"	"genotype"	"treatment"	"concentration"	"NPQ"	"qL"	"qN"	"qP"	"Y.II."	"file"
1	"Col-0"	"NaCl"	0	0	1	0	1	0.777	"input/For machine learning/20170911_glk1glk2 _for_machine_learning_2018-03-27_.txt"
1	"Col-0"	"NaCl"	0	0	1	0	1	0.769	"input/For machine learning/20170911_glk1glk2 _for_machine_learning_2018-03-27_.txt"
1	"Col-0"	"NaCl"	0	0	1	0	1	0.765	"input/For machine learning/20170911_glk1glk2 _for_machine_learning_2018-03-27_.txt"
1	"Col-0"	"NaCl"	75	0	1	0	1	0.745	"input/For machine learning/20170911_glk1glk2 _for_machine_learning_2018-03-27_.txt"
1	"Col-0"	"NaCl"	75	0	1	0	1	0.754	"input/For machine learning/20170911_glk1glk2 _for_machine_learning_2018-03-27_.txt"
1	"Col-0"	"NaCl"	75	0	1	0	1	0.771	"input/For machine learning/20170911_glk1glk2 _for_machine_learning_2018-03-27_.txt"
1	"Col-0"	"NaCl"	0	0	1	0	1	0.785	"input/For machine learning/20171129_2017-11-29_.txt"
1	"Col-0"	"NaCl"	0	0	1	0	1	0.784	"input/For machine learning/20171129_2017-11-29_.txt"
1	"Col-0"	"NaCl"	0	0	1	0	1	0.788	"input/For machine learning/20171129_2017-11-29_.txt"
1	"Col-0"	"NaCl"	0	0	1	0	1	0.784	"input/For machine learning/20171129_2017-11-29_.txt"
1	"Col-0"	"NaCl"	0	0	1	0	1	0.785	"input/For machine learning/20171129_2017-11-29_.txt"
1	"Col-0"	"NaCl"	0	0	1	0	1	0.777	"input/For machine learning/20171129_2017-11-29_.txt"
1	"Col-0"	"NaCl"	0	0	1	0	1	0.787	"input/For machine learning/20171129_2017-11-29_.txt"
1	"Col-0"	"NaCl"	0	0	1	0	1	0.786	"input/For machine learning/20171129_2017-11-29_.txt"
1	"Col-0"	"NaCl"	0	0	1	0	1	0.775	"input/For machine learning/20171129_2017-11-29_.txt"
1	"Col-0"	"NaCl"	75	0	1	0	1	0.767	"input/For machine learning/20171129_2017-11-29_.txt"
1	"Col-0"	"NaCl"	75	0	1	0	1	0.769	"input/For machine learning/20171129_2017-11-29_.txt"
1	"Col-0"	"NaCl"	75	0	1	0	1	0.764	"input/For machine learning/20171129_2017-11-29_.txt"
1	"Col-0"	"NaCl"	75	0	1	0	1	0.762	"input/For machine learning/20171129_2017-11-29_.txt"
1	"Col-0"	"NaCl"	75	0	1	0	1	0.767	"input/For machine learning/20171129_2017-11-29_.txt"
1	"Col-0"	"NaCl"	75	0	1	0	1	0.775	"input/For machine learning/20171129_2017-11-29_.txt"
1	"Col-0"	"NaCl"	75	0	1	0	1	0.78	"input/For machine learning/20171129_2017-11-29_.txt"
